Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,GERB,Bulgarian Socialist Party,United Patriots,IMRO – Bulgarian National Movement,National Front for the Salvation of Bulgaria,Attack,Alternative for Bulgarian Revival,Movement for Rights and Freedoms,Volya,Reformist Bloc,Democratic Bulgaria,Democrats for a Strong Bulgaria,"Yes, Bulgaria!",There Are Such People,Stand Up! Mutri out!,Revival,Republicans for Bulgaria,Volya–NFSB,The Bulgarian Patriots,Other
Alpha Research,,2021-07-04,2021-07-07,National,1013,Provided,47%,0.1%,21.5%,16.4%,Not Available,Not Available,Not Available,Not Available,Not Available,11.1%,Not Available,Not Available,12%,Not Available,Not Available,21.8%,5.4%,3.2%,Not Available,Not Available,3.8%,4.8%
Sova Harris,Dir.bg,2021-07-02,2021-07-06,National,1000,Provided,49.6%,0.1%,22.6%,16%,Not Available,Not Available,Not Available,Not Available,Not Available,10.9%,Not Available,Not Available,10.6%,Not Available,Not Available,22.1%,5.3%,Not Available,Not Available,Not Available,4.5%,8%
Mediana,,2021-06-26,2021-07-02,National,920,Provided,Not Available,0.1%,22.5%,20.6%,Not Available,Not Available,Not Available,Not Available,Not Available,11.1%,Not Available,Not Available,10%,Not Available,Not Available,21.7%,5.1%,2.2%,Not Available,Not Available,4.8%,2%
Nasoca,,2021-06-23,2021-06-30,National,1025,Provided,51.2%,0.1%,21.4%,15.8%,Not Available,Not Available,Not Available,Not Available,Not Available,10.5%,Not Available,Not Available,11.3%,Not Available,Not Available,20.5%,5.3%,2.3%,Not Available,Not Available,4.4%,8.5%
Market Links,bTV,2021-06-18,2021-06-25,National,1075,Provided,58%,0.1%,23.1%,17.1%,Not Available,Not Available,Not Available,Not Available,Not Available,9.1%,Not Available,Not Available,13.3%,Not Available,Not Available,21.9%,6.6%,3%,Not Available,Not Available,3.2%,2.7%
Trend,24 hours,2021-06-11,2021-06-18,National,1003,Provided,48%,0.1%,21.7%,16.1%,Not Available,Not Available,Not Available,Not Available,Not Available,10.9%,Not Available,Not Available,11.2%,Not Available,Not Available,20.2%,5%,2.3%,Not Available,Not Available,3.9%,8.7%
Sova Harris,Dir.bg,2021-06-10,2021-06-15,National,1000,Provided,48.4%,0.1%,22.4%,18.7%,Not Available,Not Available,Not Available,Not Available,Not Available,11.4%,Not Available,Not Available,11.1%,Not Available,Not Available,21.7%,5.4%,Not Available,Not Available,Not Available,4.9%,4.4%
Mediana,,2021-06-10,2021-06-15,National,1008,Provided,Not Available,0.1%,21.4%,21.3%,Not Available,Not Available,Not Available,Not Available,Not Available,11.2%,Not Available,Not Available,7.2%,Not Available,Not Available,24%,6.9%,1.5%,Not Available,Not Available,5.1%,1.4%
Gallup,BNR,2021-06-03,2021-06-11,National,1012,Provided,58.2%,0.1%,21%,15.9%,Not Available,Not Available,Not Available,Not Available,Not Available,11.9%,Not Available,Not Available,12.1%,Not Available,Not Available,21.2%,5.8%,2.7%,Not Available,Not Available,3.5%,5.9%
Alpha Research,,2021-05-30,2021-06-07,National,1007,Provided,53.2%,0.1%,20.3%,14.4%,Not Available,Not Available,Not Available,Not Available,Not Available,9.9%,Not Available,Not Available,11.9%,Not Available,Not Available,18.2%,5.3%,2.8%,Not Available,Not Available,3.4%,13.8%
Market Links,bTV,2021-05-19,2021-05-27,National,1067,Provided,63%,0.1%,23.7%,19.3%,Not Available,3.3%,Not Available,Not Available,Not Available,10.6%,Not Available,Not Available,13.3%,Not Available,Not Available,19.8%,4.7%,2%,Not Available,1.3%,Not Available,2%
CAM,,2021-05-14,2021-05-21,National,Not Available,N/A,Not Available,0.1%,23.8%,18%,Not Available,Not Available,Not Available,Not Available,Not Available,10.5%,0.5%,Not Available,11.4%,Not Available,Not Available,20.9%,4.4%,1.9%,Not Available,Not Available,Not Available,8.7%
Gallup,,2021-05-07,2021-05-14,National,812,Provided,57.9%,0.1%,22.8%,16.1%,Not Available,3.1%,Not Available,Not Available,Not Available,11.2%,1.4%,Not Available,11.6%,Not Available,Not Available,20.1%,5.6%,2.6%,Not Available,Not Available,Not Available,5.5%
Market LINKS,bTV,2021-04-16,2021-04-23,National,1053,Provided,60%,0.1%,23.2%,18.1%,Not Available,3.3%,Not Available,Not Available,Not Available,10.3%,Not Available,Not Available,13.1%,Not Available,Not Available,22.3%,6.5%,1.9%,Not Available,Not Available,Not Available,1.4%
Gallup,BNR,2021-03-24,2021-03-31,National,1013,Provided,40%,0.1%,28.2%,20.8%,Not Available,4.4%,Not Available,0.6%,1.4%,12.7%,Not Available,Not Available,6.1%,Not Available,Not Available,12.9%,5.2%,1.6%,1.3%,3%,Not Available,1.8%
CAM,,2021-03-27,2021-03-30,National,812,Provided,40%,0.1%,28.6%,19.5%,Not Available,4.3%,Not Available,1.1%,1.1%,13.2%,Not Available,Not Available,6.1%,Not Available,Not Available,12.5%,4.5%,1.7%,0.8%,2.5%,Not Available,3.9%
Alpha Research,,2021-03-27,2021-03-30,National,1007,Provided,51%,0.1%,28.1%,19.8%,Not Available,4%,Not Available,1.2%,0.9%,12.5%,Not Available,Not Available,6.3%,Not Available,Not Available,12.7%,6%,1.7%,0.8%,3.1%,Not Available,2.9%
Trend,Nova,2021-03-26,2021-03-30,National,1005,Provided,47%,0.1%,28.6%,21.8%,Not Available,4.3%,Not Available,Not Available,1.1%,12.4%,Not Available,Not Available,5.9%,Not Available,Not Available,12.6%,4.8%,1.6%,1.1%,3.2%,Not Available,2.6%
AFIS,,2021-03-26,2021-03-30,National,1000,Provided,38%,0.1%,28.1%,20.2%,Not Available,4.6%,Not Available,Not Available,1.4%,12.9%,Not Available,Not Available,6%,Not Available,Not Available,14.3%,5.1%,2%,Not Available,2.8%,Not Available,2.6%
Exacta,,2021-03-23,2021-03-29,National,1005,Provided,45%,0.1%,28.5%,20%,Not Available,4.3%,Not Available,Not Available,Not Available,12.4%,Not Available,Not Available,6.7%,Not Available,Not Available,13%,4.3%,Not Available,Not Available,Not Available,Not Available,10.8%
Rego,,2021-03-25,2021-03-28,National,1004,Provided,74.3%,0.1%,25.5%,28.2%,Not Available,3.1%,Not Available,Not Available,Not Available,9.0%,Not Available,Not Available,5.2%,Not Available,Not Available,15.7%,6.9%,1.6%,Not Available,1.5%,Not Available,3.3%
Market LINKS,bTV,2021-03-18,2021-03-23,National,1026,Provided,46%,0.1%,25.7%,22%,Not Available,3.8%,Not Available,Not Available,Not Available,11.5%,Not Available,Not Available,7.1%,Not Available,Not Available,16.4%,5.6%,Not Available,Not Available,Not Available,Not Available,8.0%
CAM,Pik,2021-03-19,2021-03-23,National,1000,Provided,Not Available,0.1%,29.9%,21%,Not Available,4.4%,Not Available,1.1%,1.0%,11.2%,Not Available,Not Available,5.8%,Not Available,Not Available,11.5%,4.3%,1.2%,1.5%,2.3%,Not Available,4.8%
Mediana,,2021-03-16,2021-03-23,National,1004,Provided,60%,0.1%,27%,23%,Not Available,4.2%,Not Available,Not Available,1.6%,11.3%,Not Available,Not Available,4.7%,Not Available,Not Available,13.5%,6.7%,1.5%,Not Available,4%,Not Available,2.5%
Sova Harris,Trud,2021-03-11,2021-03-16,National,1000,Provided,43%,0.1%,30.7%,24%,Not Available,4.8%,Not Available,0.3%,1.2%,11.5%,Not Available,Not Available,5.6%,Not Available,Not Available,11.8%,4.8%,0.7%,1.7%,2.3%,Not Available,0.6%
Trend,24 hours,2021-03-09,2021-03-14,National,1004,Provided,45%,0.1%,28.8%,23.6%,Not Available,4.0%,Not Available,0.8%,1.1%,12.1%,Not Available,Not Available,5.9%,Not Available,Not Available,12.7%,4.1%,1.1%,0.8%,2.5%,Not Available,2.5%
Alpha Research,bTV,2021-02-26,2021-03-01,National,1013,Provided,52.5%,0.1%,28.5%,23.2%,Not Available,3.7%,Not Available,0.5%,0.9%,12.5%,Not Available,Not Available,5.7%,Not Available,Not Available,13.3%,4.5%,0.7%,0.9%,1.8%,Not Available,3.8%
